"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - bjps revisions - varying population sizes.nlogo"
"sensitivity_to_random_pairing_majority_minority"
"08/06/2022 14:22:06:914 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","shift","[step]","success?","collapse?"
"126","false","0.1","0","false","0.5","1","0","0.1","1167","true","false"
"129","false","0.1","0","false","0.5","1","0","0.1","187","false","true"
"122","false","0.1","0","false","0.5","1","0","0.1","2586","true","false"
"130","false","0.1","0","false","0.5","1","0","0.1","33","false","true"
"131","false","0.1","0","false","0.5","1","0","0.1","622","true","false"
"127","false","0.1","0","false","0.5","1","0","0.1","1085","true","false"
"132","false","0.1","0","false","0.5","1","0","0.1","925","true","false"
"133","false","0.1","0","false","0.5","1","0","0.1","612","true","false"
"128","false","0.1","0","false","0.5","1","0","0.1","1641","true","false"
"134","false","0.1","0","false","0.5","1","0","0.1","791","true","false"
"138","false","0.1","0","false","0.5","1","0","0.1","697","true","false"
"135","false","0.1","0","false","0.5","1","0","0.1","1287","true","false"
"137","false","0.1","0","false","0.5","1","0","0.1","1150","true","false"
"136","false","0.1","0","false","0.5","1","0","0.1","1222","true","false"
"141","false","0.1","0","false","0.5","1","0","0.1","911","true","false"
"140","false","0.1","0","false","0.5","1","0","0.1","1205","true","false"
"144","false","0.1","0","false","0.5","1","0","0.1","714","true","false"
"139","false","0.1","0","false","0.5","1","0","0.1","2011","true","false"
"143","false","0.1","0","false","0.5","1","0","0.1","866","true","false"
"147","false","0.1","0","false","0.5","1","0","0.1","691","true","false"
"148","false","0.1","0","false","0.5","1","0","0.1","68","false","true"
"142","false","0.1","0","false","0.5","1","0","0.1","2630","true","false"
"149","false","0.1","0","false","0.5","1","0","0.1","704","true","false"
"151","false","0.1","0","false","0.5","1","0","0.1","114","false","true"
"146","false","0.1","0","false","0.5","1","0","0.1","1965","true","false"
"150","false","0.1","0","false","0.5","1","0","0.1","877","true","false"
"152","false","0.1","0","false","0.5","1","0","0.1","965","true","false"
"145","false","0.1","0","false","0.5","1","0","0.1","3054","true","false"
"153","false","0.1","0","false","0.5","1","0","0.1","1591","true","false"
"155","false","0.1","0","false","0.5","1","0","0.1","1373","true","false"
"154","false","0.1","0","false","0.5","1","0","0.1","1675","true","false"
"157","false","0.1","0","false","0.5","1","0","0.1","816","true","false"
"159","false","0.1","0","false","0.5","1","0","0.1","513","true","false"
"158","false","0.1","0","false","0.5","1","0","0.1","1016","true","false"
"162","false","0.1","0","false","0.5","1","0","0.1","783","true","false"
"156","false","0.1","0","false","0.5","1","0","0.1","2932","true","false"
"164","false","0.1","0","false","0.5","1","0","0.1","103","false","true"
"160","false","0.1","0","false","0.5","1","0","0.1","1729","true","false"
"166","false","0.1","0","false","0.5","1","0","0.1","654","true","false"
"163","false","0.1","0","false","0.5","1","0","0.1","1781","true","false"
"165","false","0.1","0","false","0.5","1","0","0.1","1636","true","false"
"161","false","0.1","0","false","0.5","1","0","0.1","2328","true","false"
"167","false","0.1","0","false","0.5","1","0","0.1","825","true","false"
"168","false","0.1","0","false","0.5","1","0","0.1","220","false","true"
"169","false","0.1","0","false","0.5","1","0","0.1","218","false","true"
"171","false","0.1","0","false","0.5","1","0","0.1","1401","true","false"
"174","false","0.1","0","false","0.5","1","0","0.1","117","false","true"
"173","false","0.1","0","false","0.5","1","0","0.1","1483","true","false"
"172","false","0.1","0","false","0.5","1","0","0.1","2052","true","false"
"177","false","0.1","0","false","0.5","1","0","0.1","467","true","false"
"170","false","0.1","0","false","0.5","1","0","0.1","1986","true","false"
"176","false","0.1","0","false","0.5","1","0","0.1","1502","true","false"
"175","false","0.1","0","false","0.5","1","0","0.1","1849","true","false"
"178","false","0.1","0","false","0.5","1","0","0.1","866","true","false"
"182","false","0.1","0","false","0.5","1","0","0.1","665","true","false"
"181","false","0.1","0","false","0.5","1","0","0.1","865","true","false"
"180","false","0.1","0","false","0.5","1","0","0.1","1155","true","false"
"185","false","0.1","0","false","0.5","1","0","0.1","65","false","true"
"184","false","0.1","0","false","0.5","1","0","0.1","542","false","true"
"186","false","0.1","0","false","0.5","1","0","0.1","978","true","false"
"187","false","0.1","0","false","0.5","1","0","0.1","683","true","false"
"189","false","0.1","0","false","0.5","1","0","0.1","881","true","false"
"190","false","0.1","0","false","0.5","1","0","0.1","98","false","true"
"188","false","0.1","0","false","0.5","1","0","0.1","1293","true","false"
"183","false","0.1","0","false","0.5","1","0","0.1","2823","true","false"
"179","false","0.1","0","false","0.5","1","0","0.1","3398","true","false"
"191","false","0.1","0","false","0.5","1","0","0.1","685","true","false"
"195","false","0.1","0","false","0.5","1","0","0.1","568","true","false"
"196","false","0.1","0","false","0.5","1","0","0.1","123","false","true"
"197","false","0.1","0","false","0.5","1","0","0.1","178","false","true"
"193","false","0.1","0","false","0.5","1","0","0.1","1111","true","false"
"192","false","0.1","0","false","0.5","1","0","0.1","1642","true","false"
"198","false","0.1","0","false","0.5","1","0","0.1","752","true","false"
"201","false","0.2","0","false","0.5","1","0","0.01","437","true","false"
"199","false","0.1","0","false","0.5","1","0","0.1","1509","true","false"
"203","false","0.2","0","false","0.5","1","0","0.01","552","true","false"
"202","false","0.2","0","false","0.5","1","0","0.01","944","true","false"
"205","false","0.2","0","false","0.5","1","0","0.01","84","false","true"
"194","false","0.1","0","false","0.5","1","0","0.1","2364","true","false"
"200","false","0.1","0","false","0.5","1","0","0.1","2283","true","false"
