"[run number]","mr_marker","random-pairing","game","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"513","0","0.2","2","0","true","0","287","true","false"
"516","0","0.2","2","0","true","0","21","false","true"
"517","0","0.2","2","0","true","0","37","false","true"
"512","0","0.2","2","0","true","0","576","true","false"
"514","0","0.2","2","0","true","0","410","true","false"
"515","0","0.2","2","0","true","0","407","true","false"
"520","0","0.2","2","0","true","0","41","false","true"
"518","0","0.2","2","0","true","0","351","true","false"
"519","0","0.2","2","0","true","0","440","true","false"
"522","0","0.2","2","0","true","0","281","true","false"
"521","0","0.2","2","0","true","0","416","true","false"
"525","0","0.2","2","0","true","0","399","true","false"
"523","0","0.2","2","0","true","0","652","true","false"
"526","0","0.2","2","0","true","0","462","true","false"
"524","0","0.2","2","0","true","0","692","true","false"
"527","0","0.2","2","0","true","0","427","true","false"
"528","0","0.2","2","0","true","0","362","true","false"
"532","0","0.2","2","0","true","0","33","false","true"
"530","0","0.2","2","0","true","0","418","true","false"
"529","0","0.2","2","0","true","0","644","true","false"
"531","0","0.2","2","0","true","0","488","true","false"
"534","0","0.2","2","0","true","0","238","true","false"
"533","0","0.2","2","0","true","0","401","true","false"
"537","0","0.2","2","0","true","0","328","true","false"
"536","0","0.2","2","0","true","0","356","true","false"
"535","0","0.2","2","0","true","0","534","true","false"
"541","0","0.2","2","0","true","0","397","true","false"
"540","0","0.2","2","0","true","0","485","true","false"
"538","0","0.2","2","0","true","0","759","true","false"
"539","0","0.2","2","0","true","0","640","true","false"
"544","0","0.2","2","0","true","0","365","true","false"
"543","0","0.2","2","0","true","0","452","true","false"
"545","0","0.2","2","0","true","0","333","true","false"
"542","0","0.2","2","0","true","0","571","true","false"
"546","0","0.2","2","0","true","0","262","true","false"
"548","0","0.2","2","0","true","0","320","true","false"
"547","0","0.2","2","0","true","0","502","true","false"
"549","0","0.2","2","0","true","0","503","true","false"
"551","0","0.2","2","0","true","0","436","true","false"
"554","0","0.2","2","0","true","0","308","true","false"
"550","0","0.2","2","0","true","0","781","true","false"
"553","0","0.2","2","0","true","0","555","true","false"
"557","0","0.2","2","0","true","0","164","true","false"
"552","0","0.2","2","0","true","0","824","true","false"
"559","0","0.2","2","0","true","0","468","true","false"
"558","0","0.2","2","0","true","0","499","true","false"
"556","0","0.2","2","0","true","0","786","true","false"
"561","0","0.2","2","0","true","0","317","true","false"
"560","0","0.2","2","0","true","0","445","true","false"
"562","0","0.2","2","0","true","0","297","true","false"
"555","0","0.2","2","0","true","0","1311","true","false"
"564","0","0.2","2","0","true","0","410","true","false"
"566","0","0.2","2","0","true","0","354","true","false"
