"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"10_plays_per_learn"
"04/19/2022 19:17:34:086 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"158","false","0.1","0","false","0.2","10","0","378","true","false"
"159","false","0.1","0","false","0.2","10","0","314","true","false"
"166","false","0.1","0","false","0.2","10","0","35","false","true"
"167","false","0.1","0","false","0.2","10","0","17","false","true"
"162","false","0.1","0","false","0.2","10","0","386","true","false"
"164","false","0.1","0","false","0.2","10","0","358","true","false"
"170","false","0.1","0","false","0.2","10","0","21","false","true"
"168","false","0.1","0","false","0.2","10","0","436","true","false"
"165","false","0.1","0","false","0.2","10","0","566","true","false"
"173","false","0.1","0","false","0.2","10","0","32","false","true"
"169","false","0.1","0","false","0.2","10","0","410","true","false"
"175","false","0.1","0","false","0.2","10","0","338","true","false"
"172","false","0.1","0","false","0.2","10","0","447","true","false"
"171","false","0.1","0","false","0.2","10","0","622","true","false"
"174","false","0.1","0","false","0.2","10","0","483","true","false"
"179","false","0.1","0","false","0.2","10","0","31","false","true"
"176","false","0.1","0","false","0.2","10","0","376","true","false"
"180","false","0.1","0","false","0.2","10","0","238","true","false"
"178","false","0.1","0","false","0.2","10","0","327","true","false"
"183","false","0.1","0","false","0.2","10","0","43","false","true"
"177","false","0.1","0","false","0.2","10","0","419","true","false"
"181","false","0.1","0","false","0.2","10","0","286","true","false"
"186","false","0.1","0","false","0.2","10","0","33","false","true"
"182","false","0.1","0","false","0.2","10","0","325","true","false"
"188","false","0.1","0","false","0.2","10","0","32","false","true"
"185","false","0.1","0","false","0.2","10","0","369","true","false"
"184","false","0.1","0","false","0.2","10","0","407","true","false"
"187","false","0.1","0","false","0.2","10","0","380","true","false"
"189","false","0.1","0","false","0.2","10","0","446","true","false"
"191","false","0.1","0","false","0.2","10","0","395","true","false"
"190","false","0.1","0","false","0.2","10","0","509","true","false"
"192","false","0.1","0","false","0.2","10","0","479","true","false"
"193","false","0.1","0","false","0.2","10","0","502","true","false"
"194","false","0.1","0","false","0.2","10","0","378","true","false"
"196","false","0.1","0","false","0.2","10","0","394","true","false"
"197","false","0.1","0","false","0.2","10","0","367","true","false"
"200","false","0.1","0","false","0.2","10","0","32","false","true"
"195","false","0.1","0","false","0.2","10","0","767","true","false"
"198","false","0.1","0","false","0.2","10","0","474","true","false"
"199","false","0.1","0","false","0.2","10","0","386","true","false"
"201","false","0.1","0","false","0.3","10","0","358","true","false"
"202","false","0.1","0","false","0.3","10","0","381","true","false"
"204","false","0.1","0","false","0.3","10","0","274","true","false"
"203","false","0.1","0","false","0.3","10","0","365","true","false"
"205","false","0.1","0","false","0.3","10","0","242","true","false"
"206","false","0.1","0","false","0.3","10","0","499","true","false"
"209","false","0.1","0","false","0.3","10","0","307","true","false"
"207","false","0.1","0","false","0.3","10","0","451","true","false"
"208","false","0.1","0","false","0.3","10","0","389","true","false"
"211","false","0.1","0","false","0.3","10","0","258","true","false"
"212","false","0.1","0","false","0.3","10","0","377","true","false"
"213","false","0.1","0","false","0.3","10","0","415","true","false"
"214","false","0.1","0","false","0.3","10","0","315","true","false"
"210","false","0.1","0","false","0.3","10","0","591","true","false"
"215","false","0.1","0","false","0.3","10","0","314","true","false"
"218","false","0.1","0","false","0.3","10","0","256","true","false"
"217","false","0.1","0","false","0.3","10","0","270","true","false"
"216","false","0.1","0","false","0.3","10","0","434","true","false"
"221","false","0.1","0","false","0.3","10","0","276","true","false"
"220","false","0.1","0","false","0.3","10","0","291","true","false"
"219","false","0.1","0","false","0.3","10","0","386","true","false"
"222","false","0.1","0","false","0.3","10","0","384","true","false"
"224","false","0.1","0","false","0.3","10","0","318","true","false"
"225","false","0.1","0","false","0.3","10","0","350","true","false"
"223","false","0.1","0","false","0.3","10","0","401","true","false"
"228","false","0.1","0","false","0.3","10","0","249","true","false"
"226","false","0.1","0","false","0.3","10","0","340","true","false"
"227","false","0.1","0","false","0.3","10","0","334","true","false"
"229","false","0.1","0","false","0.3","10","0","377","true","false"
"230","false","0.1","0","false","0.3","10","0","332","true","false"
"232","false","0.1","0","false","0.3","10","0","306","true","false"
"233","false","0.1","0","false","0.3","10","0","280","true","false"
"234","false","0.1","0","false","0.3","10","0","389","true","false"
"231","false","0.1","0","false","0.3","10","0","719","true","false"
"236","false","0.1","0","false","0.3","10","0","352","true","false"
"235","false","0.1","0","false","0.3","10","0","446","true","false"
"237","false","0.1","0","false","0.3","10","0","414","true","false"
"239","false","0.1","0","false","0.3","10","0","416","true","false"
"238","false","0.1","0","false","0.3","10","0","423","true","false"
"240","false","0.1","0","false","0.3","10","0","429","true","false"
"241","false","0.1","0","false","0.3","10","0","354","true","false"
"244","false","0.1","0","false","0.3","10","0","313","true","false"
"243","false","0.1","0","false","0.3","10","0","341","true","false"
"245","false","0.1","0","false","0.3","10","0","258","true","false"
"242","false","0.1","0","false","0.3","10","0","563","true","false"
"246","false","0.1","0","false","0.3","10","0","245","true","false"
"248","false","0.1","0","false","0.3","10","0","254","true","false"
"250","false","0.1","0","false","0.3","10","0","300","true","false"
"247","false","0.1","0","false","0.3","10","0","523","true","false"
"249","false","0.1","0","false","0.3","10","0","403","true","false"
"251","false","0.1","0","false","0.3","10","0","370","true","false"
"254","false","0.1","0","false","0.3","10","0","357","true","false"
"253","false","0.1","0","false","0.3","10","0","363","true","false"
"252","false","0.1","0","false","0.3","10","0","489","true","false"
"255","false","0.1","0","false","0.3","10","0","342","true","false"
"256","false","0.1","0","false","0.3","10","0","349","true","false"
"257","false","0.1","0","false","0.3","10","0","346","true","false"
"258","false","0.1","0","false","0.3","10","0","394","true","false"
"259","false","0.1","0","false","0.3","10","0","347","true","false"
"263","false","0.1","0","false","0.3","10","0","267","true","false"
"260","false","0.1","0","false","0.3","10","0","496","true","false"
"262","false","0.1","0","false","0.3","10","0","434","true","false"
"261","false","0.1","0","false","0.3","10","0","536","true","false"
"265","false","0.1","0","false","0.3","10","0","278","true","false"
"264","false","0.1","0","false","0.3","10","0","337","true","false"
"266","false","0.1","0","false","0.3","10","0","284","true","false"
"269","false","0.1","0","false","0.3","10","0","252","true","false"
"267","false","0.1","0","false","0.3","10","0","413","true","false"
"268","false","0.1","0","false","0.3","10","0","376","true","false"
"270","false","0.1","0","false","0.3","10","0","370","true","false"
"272","false","0.1","0","false","0.3","10","0","334","true","false"
"273","false","0.1","0","false","0.3","10","0","353","true","false"
"274","false","0.1","0","false","0.3","10","0","326","true","false"
"271","false","0.1","0","false","0.3","10","0","485","true","false"
"275","false","0.1","0","false","0.3","10","0","399","true","false"
"277","false","0.1","0","false","0.3","10","0","442","true","false"
"278","false","0.1","0","false","0.3","10","0","464","true","false"
"276","false","0.1","0","false","0.3","10","0","669","true","false"
"281","false","0.1","0","false","0.3","10","0","295","true","false"
"280","false","0.1","0","false","0.3","10","0","426","true","false"
"282","false","0.1","0","false","0.3","10","0","342","true","false"
"279","false","0.1","0","false","0.3","10","0","628","true","false"
"284","false","0.1","0","false","0.3","10","0","241","true","false"
"283","false","0.1","0","false","0.3","10","0","561","true","false"
"285","false","0.1","0","false","0.3","10","0","341","true","false"
"286","false","0.1","0","false","0.3","10","0","361","true","false"
"287","false","0.1","0","false","0.3","10","0","470","true","false"
"288","false","0.1","0","false","0.3","10","0","320","true","false"
"289","false","0.1","0","false","0.3","10","0","452","true","false"
"290","false","0.1","0","false","0.3","10","0","365","true","false"
"292","false","0.1","0","false","0.3","10","0","205","true","false"
"291","false","0.1","0","false","0.3","10","0","291","true","false"
"295","false","0.1","0","false","0.3","10","0","250","true","false"
"296","false","0.1","0","false","0.3","10","0","351","true","false"
"293","false","0.1","0","false","0.3","10","0","471","true","false"
"294","false","0.1","0","false","0.3","10","0","546","true","false"
"297","false","0.1","0","false","0.3","10","0","345","true","false"
"298","false","0.1","0","false","0.3","10","0","336","true","false"
"299","false","0.1","0","false","0.3","10","0","400","true","false"
"300","false","0.1","0","false","0.3","10","0","297","true","false"
"301","false","0.1","0","false","0.4","10","0","326","true","false"
"305","false","0.1","0","false","0.4","10","0","158","true","false"
"302","false","0.1","0","false","0.4","10","0","455","true","false"
"303","false","0.1","0","false","0.4","10","0","508","true","false"
"304","false","0.1","0","false","0.4","10","0","466","true","false"
"306","false","0.1","0","false","0.4","10","0","339","true","false"
"307","false","0.1","0","false","0.4","10","0","353","true","false"
"309","false","0.1","0","false","0.4","10","0","321","true","false"
"308","false","0.1","0","false","0.4","10","0","504","true","false"
"311","false","0.1","0","false","0.4","10","0","416","true","false"
"310","false","0.1","0","false","0.4","10","0","549","true","false"
"312","false","0.1","0","false","0.4","10","0","253","true","false"
"313","false","0.1","0","false","0.4","10","0","283","true","false"
"315","false","0.1","0","false","0.4","10","0","300","true","false"
"317","false","0.1","0","false","0.4","10","0","246","true","false"
"314","false","0.1","0","false","0.4","10","0","440","true","false"
"318","false","0.1","0","false","0.4","10","0","259","true","false"
"316","false","0.1","0","false","0.4","10","0","520","true","false"
"320","false","0.1","0","false","0.4","10","0","365","true","false"
"319","false","0.1","0","false","0.4","10","0","431","true","false"
"322","false","0.1","0","false","0.4","10","0","422","true","false"
"321","false","0.1","0","false","0.4","10","0","510","true","false"
"324","false","0.1","0","false","0.4","10","0","284","true","false"
"323","false","0.1","0","false","0.4","10","0","321","true","false"
"327","false","0.1","0","false","0.4","10","0","238","true","false"
"325","false","0.1","0","false","0.4","10","0","309","true","false"
"328","false","0.1","0","false","0.4","10","0","303","true","false"
"326","false","0.1","0","false","0.4","10","0","401","true","false"
"329","false","0.1","0","false","0.4","10","0","363","true","false"
"330","false","0.1","0","false","0.4","10","0","314","true","false"
"331","false","0.1","0","false","0.4","10","0","357","true","false"
"332","false","0.1","0","false","0.4","10","0","289","true","false"
"333","false","0.1","0","false","0.4","10","0","283","true","false"
"335","false","0.1","0","false","0.4","10","0","228","true","false"
"334","false","0.1","0","false","0.4","10","0","283","true","false"
"336","false","0.1","0","false","0.4","10","0","360","true","false"
"337","false","0.1","0","false","0.4","10","0","284","true","false"
"338","false","0.1","0","false","0.4","10","0","275","true","false"
"339","false","0.1","0","false","0.4","10","0","412","true","false"
"342","false","0.1","0","false","0.4","10","0","250","true","false"
"341","false","0.1","0","false","0.4","10","0","331","true","false"
"340","false","0.1","0","false","0.4","10","0","517","true","false"
"344","false","0.1","0","false","0.4","10","0","304","true","false"
"343","false","0.1","0","false","0.4","10","0","343","true","false"
"346","false","0.1","0","false","0.4","10","0","219","true","false"
"345","false","0.1","0","false","0.4","10","0","282","true","false"
"347","false","0.1","0","false","0.4","10","0","366","true","false"
"348","false","0.1","0","false","0.4","10","0","300","true","false"
"349","false","0.1","0","false","0.4","10","0","385","true","false"
"350","false","0.1","0","false","0.4","10","0","423","true","false"
"353","false","0.1","0","false","0.4","10","0","254","true","false"
"351","false","0.1","0","false","0.4","10","0","398","true","false"
"354","false","0.1","0","false","0.4","10","0","398","true","false"
"352","false","0.1","0","false","0.4","10","0","540","true","false"
"355","false","0.1","0","false","0.4","10","0","385","true","false"
"356","false","0.1","0","false","0.4","10","0","330","true","false"
"357","false","0.1","0","false","0.4","10","0","255","true","false"
"358","false","0.1","0","false","0.4","10","0","354","true","false"
"361","false","0.1","0","false","0.4","10","0","290","true","false"
"360","false","0.1","0","false","0.4","10","0","351","true","false"
"359","false","0.1","0","false","0.4","10","0","442","true","false"
"362","false","0.1","0","false","0.4","10","0","367","true","false"
"365","false","0.1","0","false","0.4","10","0","305","true","false"
"364","false","0.1","0","false","0.4","10","0","360","true","false"
"363","false","0.1","0","false","0.4","10","0","532","true","false"
"367","false","0.1","0","false","0.4","10","0","274","true","false"
"366","false","0.1","0","false","0.4","10","0","405","true","false"
"369","false","0.1","0","false","0.4","10","0","384","true","false"
"370","false","0.1","0","false","0.4","10","0","282","true","false"
"368","false","0.1","0","false","0.4","10","0","541","true","false"
"371","false","0.1","0","false","0.4","10","0","238","true","false"
"374","false","0.1","0","false","0.4","10","0","352","true","false"
"375","false","0.1","0","false","0.4","10","0","337","true","false"
"372","false","0.1","0","false","0.4","10","0","508","true","false"
"373","false","0.1","0","false","0.4","10","0","519","true","false"
"376","false","0.1","0","false","0.4","10","0","246","true","false"
"377","false","0.1","0","false","0.4","10","0","286","true","false"
"378","false","0.1","0","false","0.4","10","0","441","true","false"
"379","false","0.1","0","false","0.4","10","0","406","true","false"
"380","false","0.1","0","false","0.4","10","0","368","true","false"
"381","false","0.1","0","false","0.4","10","0","286","true","false"
"383","false","0.1","0","false","0.4","10","0","239","true","false"
"382","false","0.1","0","false","0.4","10","0","332","true","false"
"384","false","0.1","0","false","0.4","10","0","281","true","false"
"385","false","0.1","0","false","0.4","10","0","337","true","false"
"386","false","0.1","0","false","0.4","10","0","301","true","false"
"387","false","0.1","0","false","0.4","10","0","267","true","false"
"388","false","0.1","0","false","0.4","10","0","268","true","false"
"392","false","0.1","0","false","0.4","10","0","313","true","false"
"390","false","0.1","0","false","0.4","10","0","425","true","false"
"389","false","0.1","0","false","0.4","10","0","408","true","false"
"391","false","0.1","0","false","0.4","10","0","482","true","false"
"393","false","0.1","0","false","0.4","10","0","279","true","false"
"395","false","0.1","0","false","0.4","10","0","306","true","false"
"394","false","0.1","0","false","0.4","10","0","421","true","false"
"396","false","0.1","0","false","0.4","10","0","320","true","false"
"397","false","0.1","0","false","0.4","10","0","319","true","false"
"399","false","0.1","0","false","0.4","10","0","302","true","false"
"398","false","0.1","0","false","0.4","10","0","404","true","false"
"400","false","0.1","0","false","0.4","10","0","368","true","false"
"401","false","0.1","0","false","0.5","10","0","256","true","false"
"402","false","0.1","0","false","0.5","10","0","296","true","false"
"403","false","0.1","0","false","0.5","10","0","272","true","false"
"404","false","0.1","0","false","0.5","10","0","328","true","false"
"405","false","0.1","0","false","0.5","10","0","418","true","false"
"406","false","0.1","0","false","0.5","10","0","313","true","false"
"408","false","0.1","0","false","0.5","10","0","243","true","false"
"409","false","0.1","0","false","0.5","10","0","308","true","false"
"407","false","0.1","0","false","0.5","10","0","508","true","false"
"410","false","0.1","0","false","0.5","10","0","289","true","false"
"411","false","0.1","0","false","0.5","10","0","268","true","false"
"412","false","0.1","0","false","0.5","10","0","301","true","false"
"414","false","0.1","0","false","0.5","10","0","236","true","false"
"413","false","0.1","0","false","0.5","10","0","297","true","false"
"417","false","0.1","0","false","0.5","10","0","202","true","false"
"415","false","0.1","0","false","0.5","10","0","502","true","false"
"416","false","0.1","0","false","0.5","10","0","321","true","false"
"418","false","0.1","0","false","0.5","10","0","308","true","false"
"421","false","0.1","0","false","0.5","10","0","220","true","false"
"420","false","0.1","0","false","0.5","10","0","287","true","false"
"419","false","0.1","0","false","0.5","10","0","462","true","false"
"422","false","0.1","0","false","0.5","10","0","334","true","false"
"424","false","0.1","0","false","0.5","10","0","271","true","false"
"423","false","0.1","0","false","0.5","10","0","411","true","false"
"425","false","0.1","0","false","0.5","10","0","318","true","false"
"426","false","0.1","0","false","0.5","10","0","268","true","false"
"427","false","0.1","0","false","0.5","10","0","338","true","false"
"428","false","0.1","0","false","0.5","10","0","363","true","false"
"429","false","0.1","0","false","0.5","10","0","410","true","false"
