"[run number]","mr_marker","random-pairing","game","initial_proportion_ethnic_learning","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"236","0","0.1","1","0.3","0","true","0","25","false","true"
"234","0","0.1","1","0.3","0","true","0","937","true","false"
"230","0","0.1","1","0.3","0","true","0","1535","true","false"
"239","0","0.1","1","0.3","0","true","0","660","true","false"
"241","0","0.1","1","0.3","0","true","0","32","false","true"
"237","0","0.1","1","0.3","0","true","0","1592","true","false"
"238","0","0.1","1","0.3","0","true","0","2152","true","false"
"244","0","0.1","1","0.3","0","true","0","78","false","true"
"240","0","0.1","1","0.3","0","true","0","1018","true","false"
"246","0","0.1","1","0.3","0","true","0","159","false","true"
"247","0","0.1","1","0.3","0","true","0","69","false","true"
"248","0","0.1","1","0.3","0","true","0","72","false","true"
"242","0","0.1","1","0.3","0","true","0","1648","true","false"
"250","0","0.1","1","0.3","0","true","0","76","false","true"
"245","0","0.1","1","0.3","0","true","0","697","true","false"
"251","0","0.1","1","0.3","0","true","0","1193","true","false"
"253","0","0.1","1","0.3","0","true","0","72","false","true"
"252","0","0.1","1","0.3","0","true","0","1249","true","false"
"255","0","0.1","1","0.3","0","true","0","36","false","true"
"254","0","0.1","1","0.3","0","true","0","44","false","true"
"257","0","0.1","1","0.3","0","true","0","1258","true","false"
"258","0","0.1","1","0.3","0","true","0","51","false","true"
"243","0","0.1","1","0.3","0","true","0","3943","true","false"
"256","0","0.1","1","0.3","0","true","0","1476","true","false"
"261","0","0.1","1","0.3","0","true","0","894","true","false"
"262","0","0.1","1","0.3","0","true","0","80","false","true"
"260","0","0.1","1","0.3","0","true","0","1429","true","false"
"264","0","0.1","1","0.3","0","true","0","121","false","true"
"259","0","0.1","1","0.3","0","true","0","1829","true","false"
"249","0","0.1","1","0.3","0","true","0","3372","true","false"
"267","0","0.1","1","0.3","0","true","0","64","false","true"
"265","0","0.1","1","0.3","0","true","0","389","false","true"
"269","0","0.1","1","0.3","0","true","0","104","false","true"
"263","0","0.1","1","0.3","0","true","0","1966","true","false"
"266","0","0.1","1","0.3","0","true","0","1467","true","false"
"270","0","0.1","1","0.3","0","true","0","1720","true","false"
"271","0","0.1","1","0.3","0","true","0","1244","true","false"
"272","0","0.1","1","0.3","0","true","0","1221","true","false"
"275","0","0.1","1","0.3","0","true","0","25","false","true"
"276","0","0.1","1","0.3","0","true","0","48","false","true"
"268","0","0.1","1","0.3","0","true","0","2441","true","false"
"278","0","0.1","1","0.3","0","true","0","76","false","true"
"279","0","0.1","1","0.3","0","true","0","42","false","true"
"273","0","0.1","1","0.3","0","true","0","1839","true","false"
"274","0","0.1","1","0.3","0","true","0","2251","true","false"
"282","0","0.1","1","0.3","0","true","0","38","false","true"
"281","0","0.1","1","0.3","0","true","0","1079","true","false"
"277","0","0.1","1","0.3","0","true","0","2603","true","false"
"285","0","0.1","1","0.3","0","true","0","941","true","false"
"283","0","0.1","1","0.3","0","true","0","1554","true","false"
"284","0","0.1","1","0.3","0","true","0","1977","true","false"
"288","0","0.1","1","0.3","0","true","0","43","false","true"
"287","0","0.1","1","0.3","0","true","0","726","true","false"
"290","0","0.1","1","0.3","0","true","0","56","false","true"
"286","0","0.1","1","0.3","0","true","0","1681","true","false"
"280","0","0.1","1","0.3","0","true","0","4000","false","false"
"291","0","0.1","1","0.3","0","true","0","1842","true","false"
"289","0","0.1","1","0.3","0","true","0","1991","true","false"
"294","0","0.1","1","0.3","0","true","0","33","false","true"
"296","0","0.1","1","0.3","0","true","0","20","false","true"
"297","0","0.1","1","0.3","0","true","0","33","false","true"
"298","0","0.1","1","0.3","0","true","0","27","false","true"
"299","0","0.1","1","0.3","0","true","0","132","false","true"
"292","0","0.1","1","0.3","0","true","0","1876","true","false"
"293","0","0.1","1","0.3","0","true","0","812","true","false"
"302","0","0.1","1","0.4","0","true","0","33","false","true"
"295","0","0.1","1","0.3","0","true","0","1135","true","false"
"301","0","0.1","1","0.4","0","true","0","1094","true","false"
"303","0","0.1","1","0.4","0","true","0","633","true","false"
"300","0","0.1","1","0.3","0","true","0","1656","true","false"
"305","0","0.1","1","0.4","0","true","0","53","false","true"
"308","0","0.1","1","0.4","0","true","0","799","true","false"
"307","0","0.1","1","0.4","0","true","0","925","true","false"
"306","0","0.1","1","0.4","0","true","0","743","true","false"
"309","0","0.1","1","0.4","0","true","0","236","false","true"
"304","0","0.1","1","0.4","0","true","0","2606","true","false"
"313","0","0.1","1","0.4","0","true","0","772","true","false"
"310","0","0.1","1","0.4","0","true","0","2134","true","false"
"312","0","0.1","1","0.4","0","true","0","2391","true","false"
"311","0","0.1","1","0.4","0","true","0","1716","true","false"
"315","0","0.1","1","0.4","0","true","0","1416","true","false"
"316","0","0.1","1","0.4","0","true","0","1204","true","false"
"319","0","0.1","1","0.4","0","true","0","763","true","false"
"317","0","0.1","1","0.4","0","true","0","1454","true","false"
