"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_random_pairing"
"04/19/2022 14:20:24:101 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"174","false","0.1","0","false","0.5","1","0","745","true","false"
"176","false","0.1","0","false","0.5","1","0","404","true","false"
"175","false","0.1","0","false","0.5","1","0","1372","true","false"
"177","false","0.1","0","false","0.5","1","0","1090","true","false"
"179","false","0.1","0","false","0.5","1","0","1012","true","false"
"173","false","0.1","0","false","0.5","1","0","3062","true","false"
"178","false","0.1","0","false","0.5","1","0","1614","true","false"
"181","false","0.1","0","false","0.5","1","0","1295","true","false"
"183","false","0.1","0","false","0.5","1","0","1382","true","false"
"180","false","0.1","0","false","0.5","1","0","3038","true","false"
"182","false","0.1","0","false","0.5","1","0","2517","true","false"
"184","false","0.1","0","false","0.5","1","0","1754","true","false"
"186","false","0.1","0","false","0.5","1","0","1170","true","false"
"187","false","0.1","0","false","0.5","1","0","1450","true","false"
"188","false","0.1","0","false","0.5","1","0","1096","true","false"
"185","false","0.1","0","false","0.5","1","0","2143","true","false"
"189","false","0.1","0","false","0.5","1","0","1055","true","false"
"191","false","0.1","0","false","0.5","1","0","779","true","false"
"192","false","0.1","0","false","0.5","1","0","823","true","false"
"190","false","0.1","0","false","0.5","1","0","1644","true","false"
"195","false","0.1","0","false","0.5","1","0","776","true","false"
"193","false","0.1","0","false","0.5","1","0","1437","true","false"
"197","false","0.1","0","false","0.5","1","0","725","true","false"
"194","false","0.1","0","false","0.5","1","0","2031","true","false"
"198","false","0.1","0","false","0.5","1","0","920","true","false"
"196","false","0.1","0","false","0.5","1","0","1595","true","false"
"199","false","0.1","0","false","0.5","1","0","608","true","false"
"200","false","0.1","0","false","0.5","1","0","863","true","false"
"201","false","0.1","0","false","0.5","1","0","1748","true","false"
"204","false","0.1","0","false","0.5","1","0","1020","true","false"
"202","false","0.1","0","false","0.5","1","0","2236","true","false"
"205","false","0.1","0","false","0.5","1","0","848","true","false"
"203","false","0.1","0","false","0.5","1","0","2203","true","false"
"207","false","0.1","0","false","0.5","1","0","324","false","true"
"206","false","0.1","0","false","0.5","1","0","1305","true","false"
"210","false","0.1","0","false","0.5","1","0","845","true","false"
"211","false","0.1","0","false","0.5","1","0","590","true","false"
"208","false","0.1","0","false","0.5","1","0","1378","true","false"
"209","false","0.1","0","false","0.5","1","0","1251","true","false"
"215","false","0.1","0","false","0.5","1","0","813","true","false"
"213","false","0.1","0","false","0.5","1","0","1207","true","false"
"212","false","0.1","0","false","0.5","1","0","1625","true","false"
"218","false","0.1","0","false","0.5","1","0","533","true","false"
"216","false","0.1","0","false","0.5","1","0","1293","true","false"
"214","false","0.1","0","false","0.5","1","0","2389","true","false"
"217","false","0.1","0","false","0.5","1","0","1651","true","false"
"219","false","0.1","0","false","0.5","1","0","1171","true","false"
"221","false","0.1","0","false","0.5","1","0","1265","true","false"
"220","false","0.1","0","false","0.5","1","0","1417","true","false"
"223","false","0.1","0","false","0.5","1","0","1210","true","false"
"225","false","0.1","0","false","0.5","1","0","474","true","false"
"222","false","0.1","0","false","0.5","1","0","2059","true","false"
"224","false","0.1","0","false","0.5","1","0","1057","true","false"
"226","false","0.1","0","false","0.5","1","0","931","true","false"
"228","false","0.1","0","false","0.5","1","0","685","true","false"
"229","false","0.1","0","false","0.5","1","0","728","true","false"
"227","false","0.1","0","false","0.5","1","0","1329","true","false"
"230","false","0.1","0","false","0.5","1","0","1283","true","false"
"232","false","0.1","0","false","0.5","1","0","1647","true","false"
"233","false","0.1","0","false","0.5","1","0","1672","true","false"
"234","false","0.1","0","false","0.5","1","0","1361","true","false"
"231","false","0.1","0","false","0.5","1","0","2519","true","false"
"237","false","0.1","0","false","0.5","1","0","698","true","false"
"236","false","0.1","0","false","0.5","1","0","813","true","false"
"238","false","0.1","0","false","0.5","1","0","857","true","false"
"235","false","0.1","0","false","0.5","1","0","1879","true","false"
"241","false","0.1","0","false","0.5","1","0","418","true","false"
"239","false","0.1","0","false","0.5","1","0","834","true","false"
"240","false","0.1","0","false","0.5","1","0","753","true","false"
"243","false","0.1","0","false","0.5","1","0","606","true","false"
"242","false","0.1","0","false","0.5","1","0","1156","true","false"
"245","false","0.1","0","false","0.5","1","0","1185","true","false"
"248","false","0.1","0","false","0.5","1","0","692","true","false"
"246","false","0.1","0","false","0.5","1","0","1890","true","false"
"250","false","0.1","0","false","0.5","1","0","636","true","false"
"247","false","0.1","0","false","0.5","1","0","2570","true","false"
"249","false","0.1","0","false","0.5","1","0","1464","true","false"
"244","false","0.1","0","false","0.5","1","0","3968","true","false"
"252","false","0.1","0","false","0.5","1","0","586","true","false"
"251","false","0.1","0","false","0.5","1","0","1892","true","false"
"254","false","0.1","0","false","0.5","1","0","1068","true","false"
